title,jobdesc,code,matched_title
"Endoscopy Tech, Endo Lab, PT Days, Rockdale","Description RESPONSIBLE FOR: Assists the physician in the performance of endoscopic procedures. Maintains supplies and equipment in the Endoscopy Department in proper working order. Cleans and disinfects equipment according to unit and hospital policy. Provides appropriate patient care to the Ambulatory Care and Endoscopy patient under the direction of the Registered Nurse. Performance of clerical duties as necessary to assure optimal function of Ambulatory Care and Endoscopy. Assemble and maintain patient chart material, maintain records and files, maintains order, cleanliness of the workstation. Completes charges for patients. Requirements MINIMUM EDUCATION REQUIRED:High school graduate or equivalent. Preferred graduate of GI/OR Technology program or CNA/MA program.MINIMUM EXPERIENCE REQUIRED:Previous experience as Unit Secretary preferred or as CNA/MA.MINIMUM LICENSURE/CERTIFICATION REQUIRED BY LAW:Current AHA BLS Certification required.ADDITIONAL QUALIFICATIONS:Previous experience in Endoscopy preferred. Diversity & Inclusion At Piedmont Healthcare we embrace diverse ideas, perspectives, and skills to create a collaborative workplace where the best talent wants to succeed. We celebrate differences and recognize that they allow us to care for our community. Excellence at Work Piedmont is a certified Great Place to Work™-- a national designation based on employee feedback about trust, workplace culture and experience. In 2019, Forbes named Piedmont one of Georgia’s 10 best employers and the highest-ranked healthcare provider. Apply Now",31-9099.02,Endoscopy Technician (Endo Technician)
"CDL Truck Driver - Home Daily - Average $85,000 + Sign-On","You Deserve More As An Experienced CDL A Driver. Drivers with 3+ Months experience and a Class A CDL are in high demand across the nation. Now is the time to look and se what opportunities are available. We Connect You With The Best Companies Offering The Best Pay Rates, Routes, Bonuses & Benefits For Experienced CDL A Drivers. At TRKDRVR.com you apply once and we can match you with the trucking company that has the best opportunity for you. We match your skills, experience level, endorsements, and over all driver profile to make sure you get the best offers available for drivers at the time you apply. Using our quick apply form you are prescreened to only be matched with companies that are really looking to hire you. No more time wasted talking to companies that are just looking. If you have the experience you get matched. We partner with companies that have a Driver First mentality offering better pay, home time, and benefits. Some carriers are currently offering over $10,000 in sign on bonuses. And Team or Willing to Team drivers are in the highest demand.",53-3032.00,Class A Commercial Drivers License Truck Driver (Class A CDL Truck Driver)
assembler,"assembler.+  warren , michigan+ posted february 1, 2022",51-2022.00,assembler
"CDL-A Truck Driver - Average $45,000-$100,000/Year + Sign-On Bonuses maybe available","You Deserve More As An Experienced CDL A Driver. Drivers with 3+ Months experience and a Class A CDL are in high demand across the nation. Now is the time to look and se what opportunities are available. We Connect You With The Best Companies Offering The Best Pay Rates, Routes, Bonuses & Benefits For Experienced CDL A Drivers. At TRKDRVR.com you apply once and we can match you with the trucking company that has the best opportunity for you. We match your skills, experience level, endorsements, and over all driver profile to make sure you get the best offers available for drivers at the time you apply. Using our quick apply form you are prescreened to only be matched with companies that are really looking to hire you. No more time wasted talking to companies that are just looking. If you have the experience you get matched. We partner with companies that have a Driver First mentality offering better pay, home time, and benefits. Some carriers are currently offering over $10,000 in sign on bonuses. And Team or Willing to Team drivers are in the highest demand.",53-3032.00,Class A Commercial Drivers License Truck Driver (Class A CDL Truck Driver)
Stockroom Supervisor,"Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 155,000 employees who are committed to safe, responsible and sustainable ways to nourish the world. This position is in Cargill's protein and salt business, where we provide wholesome, high-quality food products to a wide range of customers, from foodservice operators and grocery stores to manufacturers and exporters.Job Purpose and ImpactThe Stockroom Supervisor will oversee operations in a smaller plant or location. We seek an organized professional who will supervise procurement transaction processes and inventory and procurement records, provide location procurement support and planning and handle supplier events and foster relationships. In this role, you will implement sourcing strategies, as well as talent, resource and budget management.Key AccountabilitiesDirectly supervise the day-to-day operations of a warehouse or stockroom.Ensure accurate information is entered into procurement and inventory management systemsOptimize inventory levels for short and longer term within the warehouse and stockroom in order to support plant/location operations.Ensure warehouse and stockroom operations align with Strategic Sourcing strategies and policies.Responsible for personnel decisions related to hiring, performance and disciplinary actions for your direct reports. You will also spend time completing the same tasks as employees on your team. Responsible for plant site budgetary overviewOther duties as assignedQualificationsMinimum QualificationsBachelor's degree in a related field or equivalent experienceMinimum one year of directly related work experiencePreferred QualificationsOne year of supervisory experienceExperience with SAPExperience with Excel Cargill highly encourages vaccinations but does not mandate at this time.Upon hire, you will be asked to provide your vaccination status, and if unvaccinated or if you choose not to disclose, you would be expected to follow Cargill's safety protocols for unvaccinated employees (i.e., mask mandates, and social distancing).Equal Opportunity Employer, including Disability/Vet${descr3}",43-1011.00,Stockroom Supervisor
SAP iXp Intern -Software Development and Testing,"WHAT WE OFFER Our company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from. Apply now! Â  Â  ABOUT THE SAP INTERNSHIP EXPERIENCE PROGRAMThe SAP Internship Experience Program is SAP's global, strategic, paid internship program that provides university students with opportunities to find purpose in their careers. Â  THREE REASONS TO INTERN AT SAP Â  1. Culture of collaboration: meet with mentors, make new friends across the globe and create a thriving personal network.2. Project-driven experience: gain cross-functional skills from our virtual and in-person learning sessions, diverse subject matter experts, and project deliverables.Â 3. Gain visibility: with SAP Internship Experience Program in your title, you'll have a global network of SAP leaders, entrepreneurs and career development opportunities at your fingertips. Â  ABOUT THE TEAM Â  WHAT YOU'LL DO: Â  You will be working in a fast-paced and agile environment where prototypes become products, and product increments are shipped in very short cycles. You will be part of an international cross-functional team consisting of developers, testers, product owners and management. The team is responsible to support the IT organization with manual and automated testing as well as the development of applications, services, and mobile apps. Â  POSITION TITLE: SAP iXp Intern -Software Development and Testing LOCATION: Newtown Square- please note that roles will be remote until local guidelines ensure safe office reopenings EXPECTED START DATE TO END DATE: March 28, 2022 - September 16, 2022 Â  PLEASE NOTE: Students are REQUIRED to complete the full 6-MONTH co-op experience. Please only apply if you are willing and able to complete the FULL CO-OP CYCLE EXPERIENCE. WHO YOU ARE: We're looking for someone who takes initiative, perseveres, and stays curious. You like to work on meaningful innovative projects and are energized by lifelong learning. Â  Qualifications: Â  - Preferred field of study: Computer Science or Engineering Knowledge of at least one programming language, ideally also of a scripting language- Focused on quality, independent, and goal-oriented with a high sense of initiative and dedication- Team player, sociable and communicative Looking to grow knowledge by taking on and learning new cutting edge technologies- Previous work experience in the area of software development and/or testing is beneficial Â  Â  Follow @SAPiXp on Instagram and don't miss anything about our experiences worldwide!Â  SAP DIVERSITY COMMITMENTTo harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company. SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas:Â orÂ , APJ:Â , EMEA:Â ). Requests for reasonable accommodation will be considered on a case-by-case basis. Â  Â  Â  WE ARE SAP SAP innovations help more than 400,000 customers worldwide work together more efficiently and use business insight more effectively. Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end-to-end business application software and related services for database, analytics, intelligent technologies, and experience management. As a cloud company with 200 million users and more than 100,000 employees worldwide, we are purpose-driven and future-focused, with a highly collaborative team ethic and commitment to personal development. Whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves. At SAP, we build breakthroughs, together. Â  OUR INCLUSION PROMISE SAP's culture of inclusion, focus on health and well-being, and flexible working models help ensure that everyone - regardless of background - feels included and can run at their best. At SAP, we believe we are made stronger by the unique capabilities and qualities that each person brings to our company, and we invest in our employees to inspire confidence and help everyone realize their full potential. We ultimately believe in unleashing all talent and creating a better and more equitable world. Â  SAP is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to the values of Equal Employment Opportunity and provide accessibility accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team: Americas:Â Â orÂ , APJ:Â , EMEA:Â . Â  EOE AA M/F/Vet/Disability:Qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, ethnicity, age, gender (including pregnancy, childbirth, et al), sexual orientation, gender identity or expression, protected veteran status, or disability. Requisition ID:323210Â | Work Area: Software-Design and DevelopmentÂ | Expected Travel: 0 - 10%Â | Career Status: StudentÂ | Employment Type: InternÂ Â | Additional Locations:Â ",11-3021.00,Programming and Software Development Project Manager
Plumber,"Job Description PeopleReady Skilled Trades is currently hiring experienced Plumbers from helper to journeyman level for our commercial, multi-family residential and industrial projects. Providing our clients with quality craftsmanship has given us the reputation as one of Gulf Coast Florida’s leading construction solutions team. Responsibilities Review blueprints along with building code specifications to determine work details and proceduresPerform installation of plumbing systems of new construction and remodelsInstall, repair and maintain pipes, valves, fittings, drainage systems and fixtures in commercial and residential structuresUnloading and carrying materials to the jobsiteUtilizing hand tools and cutters to cut pipe to desired lengths and electric and hand threaders to thread pipeInstalling fittings and components above and in groundCollaborate with general contractors and other construction professionalsMaintain safety practices at all timesMaintain a clean work environmentOther duties assignedCompetitive pay up to $30 an hour.﻿Sign on bonus upon completion of 160 hours. Qualifications & Experience Minimum of two years of experience in the trade. Must be at least 18 years old. Ability to lift up to 50 pounds. Ability to stand, bend, and kneel. Tools of trade and the ability to bring them onsite. References to verify your professional skills and experience.",47-1011.00,Plumber
Automotive Paint Associate Level III,"What you’ll do:Be in compliance with Shift, OSHA, EPA and State and Local EH&S lawsApply auto paint to vehicles without defects Determine appropriate paint colors for the purposes of painting vehicles to a high standardAny repairs including body repairs including sanding, grinding and weldingPaint preparation and application of materials, which requires the use of a respiratorMaintain, repair and clean equipmentRepairing vehicles to meet Shift cosmetic standardsDrive vehicles as needed to support the businessConduct in a manner that provides exceptional customer service in compliance with Shift guidelines What we’re looking for: 3-5 years of experience of Automotive painting (preferred)Ability to work hours that may include nights, weekends and holidays.Expected to follow Shift’s apparel guidelines and wear EH&S equipment when requiredGreat attention to detailAble to read and interpret data in several different formats in order to maintain accurate records.Successfully exhibit teamwork with and through associates of other departments with in HubsCan communicate effectively with associates and customers, in person and in tech applications.Must perform multiple tasks in a fast paced working environment to achieve team goalsComply with OSHA requirements for performing the job, including 29 CFR section 1910.134 which requires a respirator fit test, the satisfactory completion of a questionnaire and, if necessary, respiratory medical evaluation in connection with the use of a respirator.Ability to walk or stand for extended timesHave the ability to lift objects of at least 50lbs About UsShift is a leading end-to-end auto ecommerce platform transforming the used car industry with a technology-driven, hassle-free customer experience. Our mission is to make buying or selling a used car fun, fair, and accessible to everyone. Having gone public in October 2020, we are at the beginning of our journey and hope you join us for the ride! At Shift, we’re all about growth - we are a culture of people who are eager to grow, who are ready to roll up their sleeves and learn new things. We were founded by a scrappy group of visionaries who were by no means “car experts” but who had the desire to work together to change an industry. We’ll take the open-minded go-getter over the pure subject matter expert any day. We also believe cars are meant for everyone, so our company should be, too. We never discriminate against any candidate on the basis of gender, sexual orientation, gender identity, age, race, ethnicity, religion, color, national origin, marital status, veteran status or disability status. We welcome and encourage people of all backgrounds and walks of life to apply, even if you’re unsure if you meet all the requirements. (Even if this particular role isn’t the right fit, chances are we will have the right one soon.)",49-3023.00,Certified ASE Master Auto Tech (Certified Automotive Service Excellence Master Automotive Technician)
Crossing Guard - Hinsdale,"<b>City: Hinsdale, IL</b><br/><br/> <b>Job Title: Crossing Guard - Hinsdale</b><br/> <p><p><b>Crossing Guards needed for the 2021/2022 School Year</b></p></p> <p><p><b>DEFINITION:</b></p></p> <p><p><b>Maintain control of children and vehicular traffic at crossing sites to ensure that children cross safely at designated sites.</b></p></p> <p><p><b>Scope of Duties:</b></p></p> <p><p><b>Directs actions of children at street intersections to ensure safe crossing.</b></p></p> <p><p><b>Record license numbers of vehicles disregarding traffic signals and report infractions to the police.</b></p></p> <p><p><b>Observe vehicles and pedestrians in the area of school crosswalks to report suspicious vehicles or activity.</b></p></p> <p><p><b>Notification of uncooperative or abusive child.</b></p></p> <p><p><b>Ability to provide regular and predictable work attendance (2 excused absences a year is the objective).</b></p></p> <p><p><b>Follows all safety regulations, policies and procedures. </b></p></p> <p><p><b>Reports all unsafe conditions to the field supervisor immediately, or whenever possible, but no later than the end of shift.</b></p></p> <p><p><b>Take personal responsibility to provide exceptional customer service in order to promote and maintain a positive image, constructive working environment, and foster pride and professionalism in the workplace and community.</b></p></p> <p><p><b>SUPERVISION</b></p></p> <p><p><b>Reports to Andy Frain Services’ Field Supervisor.</b></p></p> <p><p><b>Exercises no supervision.</b></p></p> <p><p><b>Scope of Qualifications and Requirements:</b></p></p> <p><p><b>Ability to work independently under minimal supervision.</b></p></p> <p><p><b>Knowledge of the geography of the community and the location of important buildings.</b></p></p> <p><p><b>Ability to observe situations analytically and objectively and to report and record them clearly and completely.</b></p></p> <p><p><b>Ability to react quickly and calmly to emergency situations.</b></p></p> <p><p><b>Good general intelligence and emotional stability.</b></p></p> <p><p><b>Ability to tactfully interact with the public, especially children.</b></p></p> <p><p><b>Minimum 18 years of age.</b></p></p> <p><p><b>Physically able to perform the duties of a crossing guard during any weather conditions.</b></p></p> <p><p><b>Ability to read English and interpret documents such as safety rules, instructions, and procedure manuals. Ability to write reports and correspondence in English. Ability to speak effectively to children, parents, and school officials.</b></p></p> <p><p><b>Must attend a mandatory School Crossing Guard class.</b></p></p> <p><p><b>Tools and Equipment Needed</b></p></p> <p><p><b>Stop Paddle, Reflective Vest, Whistle with optional equipment such as cell phone, rain gear, reflective gloves, reflective cap, first aid equipment, proper warm safe winter gear, and traffic cones.</b></p></p> <p><p><b>ATTENDANCE:</b></p></p> <p><p><b>A high level of meeting attendance goals at crossings is required before school, during lunch periods (if applicable) and after school. This is the number one priority of being successful for this opportunity. </b></p></p> <br/> <br/> <br/> <br/> This description portrays in general terms the type and level(s) of work performed and is not intended to be all-inclusive, nor the specific duties of any one incumbent. Andy Frain Services reserves the right to modify, supplement, delete or augment the duties and responsibilities specified in the position description, in the Company’s sole and absolute discretion. Duties other than those expressly specified may be assigned from time to time. <br/><br/> <br/>",33-9091.00,Crossing Guard
Maintenance Technician,"*Monday-Friday, 3:00pm-11:30pm/7:00am-3:30pm, e/5th weekend/holiday/call-time; 80hrs/2wks ** This position may be eligible for a $1000 sign on bonus ** This position may be eligible for a $1000 referral bonus JOB SUMMARY: The Maintenance Technician is responsible to perform a variety of general, mechanical and preventative maintenance as well as inspections, servicing, repair and overhaul of equipment and facilities. Other responsibilities include Mowing, strip/wax floors, paint, snow removal, drive facility bus/van, move furniture, repair wheelchairs, and other minor equipment repairs. EDUCATION and/or EXPERIENCE: One-year certificate from college or technical school; or three to six months related experience and/or training; or equivalent combination of education and experience required. This position requires you to be 18 years of age or older. CERTIFICATION, LICENSURE, and/or REGISTRATIONS: This position requires a valid driver’s license and that the employee is insurable by the Avera Health automobile liability insurance carrier.",17-3024.00,Maintenance Technician
Electrical Engineer,"General Atomics (GA), and its affiliated companies, is one of the world’s leading resources for high-technology systems development ranging from the nuclear fuel cycle to remotely piloted aircraft, airborne sensors, and advanced electric, electronic, wireless and laser technologies.General Atomics Electromagnetic Systems (GA-EMS) designs and manufactures first-of-a-kind electromagnetic and electric power generation systems. GA-EMS' expanding portfolio of specialized products and integrated system solutions support critical fleet, space systems and satellites, missile defense, power and energy, and process and monitoring applications for defense, industrial, and commercial customers worldwide.We have an exciting opportunity for an Electrical Engineer within the Tiger Innovations team which is part of our Electromagnetic Systems group. The position would be located in Herndon, VA. The Tiger Innovations team provides innovative, cutting-edge, security solutions for the United States Government. Our employees provide a multi-disciplinary, sometimes non-traditional, approach to generate innovative solutions to incredibly challenging technical problems in the national security arena. Our areas of expertise are in spacecraft payload and system development (especially in the confines of implementing very large amounts of functionality in extremely small, power-constrained environments); unique system development; ground control and operational software development; embedded software development; and unique cyber capabilities. Key customers include the Department of Defense and the Intelligence Community.Under general directions with limited review, this position is responsible for applying innovative approaches to resolving unusual or complex engineering problems. Assignments are normally outlined in terms of overall objectives and reviewed largely at completion. This position will involve initiating the planning of engineering projects and developing innovative designs or modifications in order to meet project goals.DUTIES AND RESPONSIBILITIES:The selected candidate will be an integral participant in derived-requirements definition, avionics hardware development and implementation, and system integration, test, and verification for spacecraft and associated flight-payload/ground electronics.Key areas of focus include digital and analog hardware development and implementation, including schematic design, board layout, and board functional test, as well as a good understanding of associated firmware and software.Work may also include designing, developing, implementing, and testing RF electronics and/or FPGA-firmware.Independently performs difficult/complex engineering work with instructions as to the general expected results. Documents findings, communicates results to engineering staff, makes technical presentations, and may represent the organization as the prime technical contact on small contracts or single component projects. Supports operation of engineering systems and documents any problems. Devises new approaches to resolve unusual or complex engineering problems. Troubleshoot conflicting design/development requirements, difficult coordination requirements, and special material requirements. Provides documentation and makes technical presentations as required. May represent the organization as the prime technical contact on small contracts or single component projects.Provides direction to design or technical staff and may lead a team of moderately experienced professional staff. Performs other duties as assigned or required.We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.Job Qualifications:Typically requires a bachelors degree, masters degree or PhD in engineering or a related technical discipline from an accredited institution and progressive engineering experience as follows; six or more years of experience with a bachelors degree, four or more years of experience with a masters degree, or two or more years with a PhD.  May substitute equivalent engineering experience in lieu of education. Must have a thorough understanding of engineering concepts, principles, codes, and theory; experience demonstrating a broad application of those concepts; and, expanding knowledge of principles, concepts, theory, and practices in related technical specialties. Must possess the ability to develop and communicate new concepts; apply them accurately throughout an evolving environment; organize, schedule, and coordinate work phases; and, determine the appropriate approach at the task level or, with assistance, at the project level to provide solutions to a range of complex problems. Must have strong communication, computer, documentation, presentation, and interpersonal skills, ability to work independently and as part of a team; able to perform complex tasks in one or more engineering areas; capable of representing the organization as a prime technical contact and, lead a team of moderately experienced professional employees on single component projects. Experience with satellite programs is strongly desired, including exposure to the design, integration and test of satellite buses and a basic understanding of launch and flight operations of space vehicles.Must be comfortable with designing, developing and debugging small circuitry which performs sensing, digital data manipulation, and electro-mechanical control.Proficiency working with schematics and laboratory testing of electronics hardware and embedded systems (e.g., using logic analyzers and associated lab tools as debugging aids) is required. Proficiency in C programming language is desirable.Experience with RF circuitry/principles is a plus.Experience with FPGA development is strongly desired.Experience with software development and the Linux operating system environment is desirable.Able to work extended hours as necessary. US Citizenship is required as is the ability to maintain a Top Secret Security Clearance.",11-9041.00,Electrical Engineer
"Retail Sales Alternative - $60,000+","No Experience or Degree Required - Remote Paid TrainingIf you enjoy working with people and getting things done, then you're probably a good fit for a much higher-paying career in technology sales.CourseCareers is a 4-12 week program that trains students online in technology sales and connects them with their first position at a tech company. Best of all is that you don’t need to have a degree or sales experience.On average our students make about $60,000 in their first year and potentially $100,000+ in the following years. If you’re interested in a career in tech sales then click the apply button to go through our free introduction course to learn how you can start your career in tech sales today!Qualifications:_ Strong desire to start a career in tech sales_ No degree required_ No experience required_ No advanced technical skills required_ Not currently enrolled in college or willing to drop-out_ Authorized to work in the U.S./Green Card Holder. You can live in any city in the US.Preferred Skills:_ Strong written and verbal communication skills_ Strong interpersonal skills such as empathy and emotional intelligence_ Previous sales or customer-facing experience is a plus but not required_ Ability to learn online with minimal direction_ Basic computer literacyResponsibilities:_ Use lead generation tools to extract contacts and craft targeted lists of prospects_ Use tools such as LinkedIn and Google to research prospects_ Find and identify different triggers for high-value prospects_ Use the best practices for email, phone, and social media to connect with new prospects_ Learn sales terminology, organizational structures, and business motivations._ Ask smart, relevant questions to speak knowledgeably with decision-makers at companies_ Build interest and qualify decision-makers to ultimately schedule a meeting with them_ Use technology such as CRM and sales acceleration software to be a modern sales proHow to get started:If you seem like the type of person who we’re looking for, then please go through our free introductory course to learn exactly how you can start your career in tech sales without a degree or sales experience.Click the apply button to get started.",41-1011.00,Retail Sales Manager
Demand Planner- Kitchen,"The Demand Planner is responsible for all forecasting activities associated with customers and products across a variety of categories. The Demand Planner creates and maintains forecast models for their customers, incorporating business intelligence  Planner, Kitchen, Sales, Grocery, Business Services, Casting",11-3051.00,Demand Planner
CDL A Flatbed Truck Drivers,"Ozark Logistics is Hiring Regional Company Drivers for Flatbed, Van, & Pneumatics PositionsGreenville, AL | Millen, GA | Marion, IN | Dayton, NV | Childress, TXCall (844) 923-3940 or Apply Now!Flatbed Position Details:Target Gross annual Drivers Average up to $70,000 - $90,000+Avg Weekly Gross of $1,400 - $1,710All positions pay $170 daily rate PLUS mileage for ALL miles (loaded and empty)Guaranteedtransition pay of$1,300 - $1,400/weekfor 1st monthHome weekly AND weekends$5,000Sign-On Bonus/Retention BonusWeekly PayDriver referral bonus programSafety Bonus starting at$5,500per year with added longevity increasesBrand new 2020-2022 trucksAssigned tractors(no slip-seating)Free uniformsHealth benefits 100% company-paid premium for employeesReimbursement - 100% Copay ReimbursableAdditional available benefits; Family Health, Dental, Vision, Life, Aflac401k with 100% company match up to 3% of annual earningsPrivate FleetWe love Veterans!Flatbed Truck Driver Requirements:1+ year of CDL A experience , or 6 Months Flatbed with 1 year of CDL experience acceptedApplicableMILITARYexperience accepted in place of 2 years requirementTwo or fewer moving violations and one preventable accidents in the past 3 yearsMinimum 23 years of ageMust have or be willing to obtain tanker endorsement within 30 days of employment (company reimbursed)About Ozark Logistics LLCOzark Logistics, LLC is a safety conscious fleet of dry vans, flatbeds, and bulk tankers striving to provide an outstanding customer and vendor experience for every delivery with professional staff and drivers. We run primarily as a dedicated fleet for our sister company, Ozark Materials LLC, which provides us with load availability and stability. There is no bigger driver advocate out there than our staff which is why we are committed to new, comfortable equipment and high safety standards. Go Ozark and come join our family.Call (844) 923-3940 or Apply Now!",53-3032.00,Class A Commercial Drivers License Truck Driver (Class A CDL Truck Driver)
Office Bookkeeper,"Are you looking for an opportunity to build a great career with a company where you and your efforts will truly be valued? Join our team at Sapp Bros.! We operate a chain of travel centers stretching from Utah to Pennsylvania, providing our customers with quality products, a clean environment, and a commitment to excellent service. We are currently looking for a motivated and hard-working Bookkeeper to join our team!The Bookkeeper is primarily responsible for communicating the sales, expenses, and cash auditing results from the previous day to the General Manager and Department Managers in order for them to make decisions on how to maximize efficiencies and profits. Our Bookkeepers are to maintain tight cash controls and report any breakdowns or weaknesses in the system to the General Manager.Duties:Sapp Bros. is a place where everyone works hard to make each Travel Center the very best by being the friendliest and cleanest travel center in the United States. Bookkeepers must be extremely proficient with 10-key and Windows based software. Below is a partial list of duties that one could expect to perform on a typical shift: Audit previous day receipts and prepare daily deposit Enter sales ahead of daily deadline into accounting system Reconcile daily accounts receivable and credit cards Assist Store Associates look for cash variations File copies of accounts receivable and payable documents Reconcile mechanical totalizers to POS sales reports Enter daily Bill of Ladings into accounting software Enter accounts payable in accounting software Audit and reconcile manager's vault Forecast and order daily change requirements Order office and fuel desk supplies Meet daily with General Manager and Departments Heads to communicate resultsRequirements:The Bookkeeper must maintain a professional image at all times. If hired for this position you must provide proper documentation establishing your identity and eligibility to be legally employed in the United States, be willing to undergo a criminal background and employment reference check, and be at least 18 years of age.Physical DemandsRegularly required to sit, stand, walk, talk and hearFrequently required to use hand to finger motions, handle or feel objects, reach with arms and handsRegularly required to lift and / or move items up to 30 poundsVision requirements: Close vision, distance vision. Must be able to focus quickly between a computer screen to paper and back again regularlyWith Sapp Bros, you will be part of an established company with a long tradition of commitment to quality, ethics, and superior customer service. You'll have the opportunity to use your leadership, creativity, communication and people skills in a fun, rewarding environment. Plus, we offer opportunities for advancement as well as competitive compensation.Benefits Include:Health, Vision & Dental InsuranceLife & Long Term DisabilityAccident InsurancePrescription Plan401kPaid Holidays & VacationEducation Assistance ProgramGym Membership ReimbursementDiscounts on Gasoline & DieselStore & Restaurant DiscountsCareer Advancement - We promote from within!",43-3031.00,Office Bookkeeper
Bilingual Driver with Uber (English/Spanish),"Why Uber?Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Weekly incentives will ensure first-time drivers succeed as they learn the ropes.What you need to know:Signup in seconds: Get started today and we’ll provide support along the way.Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay.Flexible schedule: You control when and where you drive.24/7 support: The app gives you turn-by-turn directions, and access 24/7 support if you need help.What you need to get started:21 years old or olderA 4-door vehicleA valid U.S. driver’s license and vehicle insuranceAt least one year of driving experience in the U.S. (3 years if you’re under 23 years old)Health and SafetyUber has introduced new policies and features to help keep everyone safe. All riders and drivers must wear a face cover or mask when using Uber, even when vaccinated. Uber is actively monitoring the coronavirus (COVID-19) situation and are continually working to help keep those who rely on our platform healthy and safe.Additional Information:If you have previous employment experience in transportation (such as a delivery driver, driver, professional driver, driving job, truck driver, heavy and tractor-trailer driver, cdl truck driver, class a or class b driver, local truck driver, company truck driver, taxi driver, taxi chauffeur, cab driver, cab chauffeur, taxi cab driver, transit bus driver, bus driver, coach bus driver, bus operator, shuttle driver, bus chauffeur) you might also consider driving with Uber and earn extra money. We also welcome drivers who have worked with other peer-to-peer ridesharing or driving networks. Drivers using the Uber platform come from all backgrounds and industries ranging from traditional driving and transportation industries to other industries. Driving with Uber is a great way to supplement your part time or full time income.",53-3054.00,Lyft Driver
Server,"Company Introduction:At Louisiana Bistreaux, we focus onbringing you the wonderful cuisine of Louisiana in a casual setting. Our menu includes fresh seafood, steaks, gumbo, Jambalaya, Etouffee, and much more. Take a look.Overview:Main Responsibilities of a Server● Taking orders and delivering food and beverages.● Helping guests with menu recommendations.● Providing exceptional customer experience.Our restaurant is looking for a server with remarkable hard skills and engaging people skills.The right person for this job should be able to multitask food and beverage orders and deliveries, but not only that. Our restaurant prides itself in providing excellent service, which is why we are looking for a waiter/waitress who will treat our guests with attentiveness, patience, and a positive attitude.The responsibilities of a server in our restaurant are to greet guests, seat them down, help them with menu recommendations, take and deliver orders (carry trays), and clear tables. All our servers are also responsible for handling cash and credit card transactions.To help our restaurant provide a pleasurable dining experience, a good server should be able to ensure that our guests are fully satisfied by being friendly, courteous, accommodating, and reliable. A suitable candidate for the job should also be a problem-solver and a team player.Responsibilities of a Server:● Providing menu recommendations and additional information.● Upselling additional products when appropriate.● Checking ID's to prevent minors from ordering alcoholic beverages.● Taking orders using software, order slips, or by memorization.● Communicating order details to the kitchen staff.● Delivering food and beverages in a timely fashion.● Delivering checks and collecting bill payments.● Cleaning and maintaining the appearance of tables and tableware.● Providing exceptional customer experience.Server Job Requirements:● Must showcase teamwork and communication skills.● Must be able to handle money transactions responsibly.● Must be able to multitask and act quickly.● Must be flexible and ready to work in shifts.",15-1241.00,Server
